floor,gender,time,comments
13,F,2022-11-03T16:52:39.798Z,遠鄉人 現在正在聽
14,M,2022-11-03T16:55:16.319Z,宝島材料行 讚的
15,F,2022-11-03T17:04:40.082Z,拍謝少年 拍謝少年❤️🐟！
16,F,2022-11-03T17:10:52.513Z,烏流
17,F,2022-11-03T17:12:58.906Z,"https://youtu.be/gBSTVxE0t6o
https://youtu.be/dWghL3qlpy0"
18,M,2022-11-03T17:18:13.369Z,"無妄合作社 青春之歌

https://youtu.be/qRCnF7SMufo"
19,F,2022-11-03T17:33:38.522Z,夕陽武士必須的吧
20,M,2022-11-03T17:44:08.269Z,"風籟坊 長途電話
小安 憂愁
伍佰 心愛的再會啦
表兒 純戀歌
濁水溪公社 漏電的插頭
淺堤 陷眠 
先知瑪莉 陸橋
晨曦光廊 白紙
裝咖人 整張專輯配口白聽
還有拍謝少年超推無題 
來來來聽到超感動的啦"
21,F,2022-11-03T17:51:45.975Z,椅子的Maybe Maybe!ദ്ദി^._.^)
22,F,2022-11-03T18:08:14.832Z,https://youtu.be/GJGEc0Pt-0w
23,M,2022-11-03T18:11:56.488Z,唯一推薦珂拉琪 金曲新人獎
24,M,2022-11-03T19:01:58.222Z,https://youtu.be/jvjAZEk90e8
25,M,2022-11-03T19:06:09.974Z,董事長在啦
26,M,2022-11-03T20:29:46.362Z,固定客
27,F,2022-11-03T23:09:55.950Z,裝咖人！百合花！都很讚🥰
28,F,2022-11-04T00:21:28.328Z,海岸乾杯
29,M,2022-11-04T00:39:02.917Z,"https://youtu.be/KNeJS1va4mg
很愛這首！不知道為什麼反響平平😢"
30,M,2022-11-04T01:22:22.277Z,"推薦台語愛歌：
拍謝少年-全都推
非人物種-一世人、好久不見、蕾夢
無妄合作社-青春之歌
等阮返來-我共一切攏予你啊
茄子蛋-happy運將
美秀-細粒的目睭
Deca joins-艷紅
以上串流平台都聽得到"
31,M,2022-11-04T02:24:37.849Z,固定客-師父
32,F,2022-11-04T02:34:25.648Z,鄭宜農！！《水逆》專輯裡都是台語歌，可以怕聽看看！其他專輯裡有＜街仔路雨落袂停＞、＜深深的＞、＜玉仔的心＞是我覺得好聽的😍😍😍
33,M,2022-11-04T02:44:53.856Z,居然沒提到滅火器🧯這一定要大推的吧！！
34,M,2022-11-04T02:49:58.457Z,"無法度按捺
一個人的下午
Why not暈爛"
